tweetId,strategyId,annotationId,annotated
76,1,1,1
76,1,2,1
76,1,3,1
77,1,1,0
77,1,2,0
77,1,3,0
78,1,1,0
78,1,2,0
78,1,3,0
79,1,1,0
79,1,2,0
79,1,3,0
80,1,1,0
80,1,2,0
80,1,3,0
81,1,1,0
81,1,2,0
81,1,3,0
82,1,1,0
82,1,2,0
82,1,3,0
83,1,1,0
83,1,2,0
83,1,3,0
84,1,1,0
84,1,2,0
84,1,3,0
85,1,1,0
85,1,2,0
85,1,3,0
86,1,1,0
86,1,2,0
86,1,3,0
87,1,1,0
87,1,2,0
87,1,3,0
88,1,1,0
88,1,2,0
88,1,3,0
89,1,1,0
89,1,2,0
89,1,3,0
90,1,1,0
90,1,2,0
90,1,3,0
91,1,1,0
91,1,2,0
91,1,3,0
92,1,1,0
92,1,2,0
92,1,3,0
93,1,1,0
93,1,2,0
93,1,3,0
94,1,1,0
94,1,2,0
94,1,3,0
95,1,1,0
95,1,2,0
95,1,3,0
96,1,1,0
96,1,2,0
96,1,3,0
97,1,1,0
97,1,2,0
97,1,3,0
98,1,1,0
98,1,2,0
98,1,3,0
99,1,1,0
99,1,2,0
99,1,3,0
100,1,1,0
100,1,2,0
100,1,3,0
